title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,total_unartistic,percent_clausulae
anechomenos,11,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0
apologia,1327,180,3,122,19,107.0,24.0,27.0,31.0,80.0,53.0,11.0,4.0,4.0,12.0,17.0,8.0,18.0,8.0,279.0,7.0,6.0,21.0,1.0,10.0,253.0,48.0,67.0,22.0,2.0,728.0,27.0,419.0,0.6582388840453357
carmina,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,4.0,0.0,10.0,0.2857142857142857
de deo socratis,238,20,0,11,4,29.0,5.0,11.0,22.0,30.0,5.0,5.0,2.0,1.0,0.0,4.0,1.0,1.0,5.0,40.0,1.0,0.0,5.0,1.0,0.0,25.0,7.0,9.0,1.0,1.0,168.0,7.0,50.0,0.8027522935779816
de deo socratis praef,51,11,0,5,0,5.0,1.0,2.0,3.0,7.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,34.0,1.0,6.0,0.875
de mundo,396,82,0,38,7,71.0,10.0,7.0,17.0,35.0,11.0,3.0,1.0,0.0,6.0,5.0,1.0,7.0,4.0,73.0,2.0,1.0,5.0,3.0,2.0,22.0,13.0,11.0,2.0,0.0,264.0,2.0,50.0,0.8471337579617835
de platone et eius dogmate,487,59,0,39,0,73.0,13.0,15.0,25.0,43.0,11.0,8.0,7.0,3.0,6.0,7.0,0.0,5.0,6.0,113.0,3.0,4.0,13.0,0.0,2.0,39.0,13.0,12.0,3.0,1.0,357.0,3.0,71.0,0.8411214953271028
florida,390,69,0,68,1,36.0,2.0,6.0,13.0,33.0,17.0,4.0,3.0,0.0,9.0,2.0,6.0,3.0,5.0,84.0,2.0,7.0,11.0,0.0,1.0,36.0,17.0,18.0,1.0,0.0,244.0,5.0,77.0,0.7757009345794392
fragmenta,40,14,0,2,1,2.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,17.0,3.0,9.0,0.7692307692307693
metamorphoses,2809,85,0,40,34,331.0,45.0,46.0,103.0,192.0,209.0,25.0,18.0,36.0,46.0,29.0,32.0,45.0,82.0,636.0,17.0,41.0,156.0,8.0,41.0,225.0,93.0,188.0,22.0,7.0,2138.0,51.0,586.0,0.80359765051395
