title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,total_unartistic,percent_clausulae
anticato,3,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
bellum civile,2007,203,25,35,6,262.0,47.0,52.0,35.0,86.0,80.0,24.0,5.0,18.0,18.0,16.0,14.0,16.0,37.0,346.0,16.0,18.0,71.0,7.0,9.0,350.0,85.0,120.0,47.0,9.0,1177.0,16.0,627.0,0.6613082039911308
bellum civile book 1,719,29,11,10,6,108.0,15.0,17.0,18.0,38.0,27.0,11.0,2.0,7.0,5.0,11.0,3.0,2.0,18.0,141.0,7.0,4.0,32.0,3.0,3.0,120.0,24.0,50.0,20.0,1.0,472.0,3.0,218.0,0.6884057971014492
bellum civile book 2,383,8,6,2,0,59.0,11.0,11.0,5.0,19.0,21.0,3.0,1.0,5.0,2.0,4.0,3.0,5.0,6.0,62.0,2.0,2.0,14.0,2.0,3.0,75.0,19.0,30.0,5.0,2.0,240.0,4.0,135.0,0.6506666666666666
bellum civile book 3,905,166,8,23,0,95.0,21.0,24.0,12.0,29.0,32.0,10.0,2.0,6.0,11.0,1.0,8.0,9.0,13.0,143.0,7.0,12.0,25.0,2.0,3.0,155.0,42.0,40.0,22.0,6.0,465.0,9.0,274.0,0.6414073071718539
carmina,4,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.25
de analogia,31,23,0,0,6,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,3.0,0.625
de bello gallico,2495,26,12,9,3,339.0,43.0,73.0,60.0,93.0,127.0,12.0,5.0,11.0,30.0,23.0,30.0,26.0,40.0,500.0,32.0,33.0,73.0,5.0,14.0,540.0,98.0,157.0,67.0,14.0,1569.0,24.0,900.0,0.6452004860267315
de bello gallico book 1,467,6,3,0,2,50.0,7.0,14.0,8.0,9.0,17.0,1.0,1.0,2.0,7.0,2.0,2.0,2.0,7.0,115.0,11.0,8.0,9.0,0.0,5.0,106.0,29.0,29.0,16.0,2.0,277.0,2.0,184.0,0.6052060737527115
de bello gallico book 2,192,3,1,2,0,28.0,3.0,8.0,3.0,8.0,11.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,4.0,30.0,1.0,3.0,9.0,0.0,2.0,53.0,7.0,8.0,4.0,1.0,116.0,0.0,73.0,0.6137566137566137
de bello gallico book 3,157,3,2,1,0,18.0,1.0,7.0,2.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,39.0,4.0,0.0,6.0,0.0,1.0,43.0,7.0,5.0,3.0,0.0,95.0,1.0,59.0,0.6233766233766234
de bello gallico book 4,219,2,0,2,0,33.0,2.0,6.0,5.0,7.0,12.0,2.0,0.0,1.0,0.0,2.0,2.0,3.0,4.0,38.0,2.0,3.0,6.0,0.0,0.0,49.0,13.0,11.0,11.0,1.0,128.0,4.0,89.0,0.6082949308755761
de bello gallico book 5,440,4,3,1,0,74.0,10.0,8.0,15.0,20.0,23.0,3.0,0.0,0.0,7.0,3.0,8.0,4.0,9.0,75.0,6.0,7.0,17.0,2.0,2.0,88.0,12.0,32.0,5.0,2.0,293.0,4.0,143.0,0.6811926605504587
de bello gallico book 6,324,0,0,0,0,54.0,5.0,8.0,8.0,19.0,19.0,2.0,1.0,4.0,5.0,6.0,5.0,5.0,4.0,69.0,1.0,5.0,9.0,2.0,1.0,52.0,7.0,21.0,7.0,2.0,232.0,3.0,92.0,0.7253086419753086
de bello gallico book 7,696,8,3,3,1,82.0,15.0,22.0,19.0,26.0,41.0,3.0,2.0,1.0,11.0,8.0,8.0,10.0,11.0,134.0,7.0,7.0,17.0,1.0,3.0,149.0,23.0,51.0,21.0,6.0,428.0,10.0,260.0,0.6366279069767442
de bello gallico book 8,316,24,4,3,7,46.0,7.0,9.0,9.0,5.0,7.0,3.0,0.0,1.0,1.0,1.0,5.0,2.0,0.0,61.0,5.0,4.0,3.0,0.0,2.0,71.0,22.0,18.0,6.0,1.0,171.0,3.0,121.0,0.5958904109589042
epistulae ad ciceronem,39,10,0,0,7,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,2.0,0.0,1.0,17.0,2.0,12.0,0.6551724137931034
epistulae ad familiares,28,3,3,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,15.0,0.0,10.0,0.6
orationes,13,2,1,0,1,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,8.0,0.0,3.0,0.7272727272727273
