title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,total_unartistic,percent_clausulae
academica,228,6,0,3,2,32.0,4.0,11.0,7.0,32.0,8.0,3.0,2.0,0.0,5.0,1.0,1.0,3.0,2.0,45.0,3.0,3.0,16.0,1.0,2.0,20.0,7.0,6.0,4.0,1.0,181.0,3.0,41.0,0.8288288288288288
arati phaenomena,250,19,0,19,0,6.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,9.0,185.0,8.0,2.0,0.0,27.0,0.0,204.0,0.11688311688311688
arati prognotica,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
brutus,1655,143,74,9,53,211.0,28.0,65.0,18.0,290.0,128.0,42.0,10.0,3.0,38.0,14.0,6.0,33.0,17.0,306.0,14.0,7.0,105.0,2.0,2.0,95.0,14.0,32.0,5.0,3.0,1339.0,24.0,173.0,0.9014550264550265
carmina fragmenta,125,0,0,0,0,0.0,0.0,0.0,0.0,1.0,14.0,2.0,0.0,0.0,7.0,2.0,4.0,11.0,7.0,5.0,1.0,1.0,1.0,0.0,0.0,8.0,54.0,3.0,3.0,0.0,56.0,1.0,69.0,0.456
cato maior de senectute,550,27,11,0,15,99.0,15.0,26.0,9.0,97.0,40.0,14.0,3.0,1.0,10.0,4.0,1.0,14.0,5.0,86.0,3.0,5.0,26.0,1.0,3.0,23.0,16.0,11.0,7.0,0.0,462.0,4.0,61.0,0.8910133843212237
commentarii causarum,3,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
de divinatione,1987,105,5,14,67,283.0,39.0,110.0,20.0,260.0,121.0,39.0,20.0,8.0,38.0,12.0,13.0,36.0,21.0,354.0,18.0,10.0,101.0,6.0,6.0,134.0,94.0,86.0,21.0,2.0,1515.0,30.0,367.0,0.8209351753453773
de domo sua,809,65,13,8,44,142.0,18.0,50.0,10.0,63.0,33.0,11.0,3.0,1.0,14.0,4.0,4.0,5.0,6.0,227.0,11.0,3.0,42.0,2.0,2.0,46.0,12.0,14.0,5.0,1.0,651.0,15.0,93.0,0.8951612903225806
de fato,349,19,0,2,4,46.0,7.0,13.0,4.0,42.0,25.0,8.0,1.0,2.0,6.0,7.0,2.0,7.0,1.0,64.0,5.0,0.0,25.0,0.0,1.0,27.0,10.0,9.0,8.0,2.0,266.0,8.0,64.0,0.8303030303030303
