title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
academica,228,6,0,3,2,31.0,5.0,11.0,6.0,31.0,8.0,3.0,2.0,0.0,5.0,1.0,1.0,3.0,2.0,42.0,3.0,3.0,15.0,1.0,0.0,27.0,7.0,9.0,2.0,1.0,219.0,3.0,1.0
arati phaenomena,250,3,0,3,0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,7.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,9.0,194.0,10.0,3.0,0.0,247.0,0.0,1.0
arati prognotica,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,1.0
brutus,1655,141,73,7,54,209.0,28.0,62.0,18.0,284.0,134.0,41.0,10.0,3.0,36.0,14.0,5.0,33.0,20.0,303.0,14.0,7.0,103.0,2.0,1.0,102.0,17.0,31.0,7.0,3.0,1487.0,27.0,1.0
carmina fragmenta,125,0,0,0,0,0.0,0.0,0.0,0.0,1.0,15.0,2.0,0.0,0.0,6.0,2.0,4.0,11.0,7.0,5.0,1.0,1.0,1.0,0.0,0.0,8.0,54.0,3.0,3.0,0.0,124.0,1.0,1.0
cato maior de senectute,550,27,11,0,15,101.0,14.0,24.0,9.0,94.0,36.0,14.0,3.0,1.0,11.0,5.0,1.0,14.0,5.0,88.0,3.0,5.0,26.0,2.0,3.0,26.0,16.0,9.0,7.0,0.0,517.0,6.0,1.0
commentarii causarum,3,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
de divinatione,1987,102,5,11,67,279.0,36.0,106.0,17.0,248.0,130.0,38.0,18.0,7.0,39.0,14.0,13.0,36.0,23.0,352.0,14.0,11.0,102.0,5.0,7.0,151.0,93.0,90.0,21.0,4.0,1854.0,31.0,1.0
de domo sua,809,65,13,8,44,137.0,16.0,51.0,11.0,61.0,35.0,11.0,4.0,1.0,13.0,4.0,4.0,5.0,8.0,223.0,11.0,2.0,42.0,2.0,1.0,52.0,13.0,14.0,5.0,1.0,727.0,17.0,1.0
de fato,349,19,0,2,4,47.0,6.0,13.0,3.0,42.0,25.0,7.0,2.0,2.0,6.0,7.0,2.0,9.0,1.0,63.0,3.0,1.0,24.0,0.0,1.0,29.0,9.0,10.0,8.0,2.0,322.0,8.0,1.0
de finibus,2758,90,7,20,59,327.0,49.0,141.0,27.0,378.0,229.0,44.0,23.0,10.0,54.0,19.0,12.0,61.0,42.0,570.0,23.0,20.0,171.0,10.0,9.0,200.0,60.0,98.0,24.0,8.0,2609.0,59.0,1.0
de haruspicum responso,423,21,6,3,9,82.0,8.0,37.0,9.0,26.0,26.0,4.0,2.0,1.0,4.0,4.0,3.0,6.0,2.0,105.0,9.0,2.0,12.0,0.0,1.0,41.0,11.0,2.0,2.0,1.0,400.0,2.0,1.0
de inventore,2250,61,0,18,23,281.0,45.0,67.0,40.0,73.0,129.0,17.0,9.0,15.0,37.0,23.0,17.0,23.0,48.0,606.0,14.0,9.0,142.0,4.0,10.0,309.0,65.0,94.0,26.0,11.0,2114.0,75.0,1.0
de iure civ in artem redig,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
de lege agraria,850,61,18,13,30,167.0,12.0,35.0,17.0,58.0,60.0,7.0,3.0,2.0,12.0,8.0,6.0,9.0,9.0,190.0,4.0,4.0,52.0,3.0,0.0,71.0,16.0,18.0,5.0,0.0,768.0,21.0,1.0
de legibus,1223,111,3,56,18,118.0,10.0,58.0,14.0,193.0,107.0,23.0,11.0,3.0,33.0,12.0,9.0,25.0,20.0,215.0,10.0,11.0,79.0,3.0,1.0,81.0,23.0,27.0,9.0,1.0,1096.0,16.0,1.0
de natura deorum,2148,28,1,10,15,320.0,52.0,135.0,24.0,288.0,125.0,34.0,20.0,4.0,32.0,22.0,16.0,41.0,25.0,457.0,24.0,12.0,138.0,3.0,2.0,149.0,89.0,59.0,22.0,9.0,2102.0,18.0,1.0
de officiis,1895,81,21,9,25,263.0,56.0,130.0,28.0,311.0,121.0,37.0,14.0,4.0,30.0,16.0,7.0,37.0,14.0,383.0,21.0,8.0,107.0,9.0,4.0,98.0,34.0,41.0,15.0,5.0,1793.0,21.0,1.0
de optimo genere oratorum,107,3,0,0,3,6.0,2.0,3.0,0.0,19.0,8.0,4.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,24.0,0.0,2.0,10.0,0.0,0.0,8.0,1.0,2.0,5.0,1.0,103.0,1.0,1.0
de oratore,3368,150,32,47,47,579.0,97.0,235.0,57.0,279.0,251.0,38.0,20.0,9.0,62.0,27.0,21.0,51.0,40.0,708.0,44.0,24.0,191.0,5.0,8.0,257.0,69.0,78.0,27.0,11.0,3188.0,30.0,1.0
de partitione oratoria,600,12,0,3,9,104.0,18.0,30.0,10.0,55.0,40.0,8.0,5.0,0.0,9.0,7.0,3.0,13.0,7.0,138.0,4.0,1.0,37.0,0.0,1.0,44.0,17.0,11.0,8.0,5.0,575.0,13.0,1.0
de provinciis consularibus,265,11,6,0,5,48.0,3.0,31.0,4.0,21.0,19.0,3.0,2.0,0.0,4.0,1.0,2.0,3.0,3.0,71.0,3.0,5.0,4.0,0.0,0.0,17.0,4.0,3.0,1.0,0.0,252.0,2.0,1.0
de republica,1590,470,47,12,43,118.0,18.0,48.0,15.0,188.0,120.0,21.0,9.0,5.0,33.0,16.0,1.0,30.0,14.0,171.0,6.0,9.0,83.0,2.0,3.0,89.0,19.0,37.0,9.0,3.0,1067.0,53.0,1.0
epistula ad ocatianum,66,3,0,1,0,13.0,1.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,61.0,2.0,1.0
