title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
academica,155,3,0,2,0,21.0,4.0,8.0,6.0,23.0,4.0,2.0,2.0,0.0,3.0,1.0,1.0,3.0,1.0,29.0,2.0,1.0,12.0,1.0,0.0,17.0,3.0,4.0,1.0,1.0,150.0,2.0,1.0
arati phaenomena,163,2,0,2,0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,133.0,3.0,2.0,0.0,161.0,0.0,1.0
arati prognotica,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0
brutus,1087,75,54,5,9,139.0,19.0,46.0,9.0,196.0,97.0,32.0,6.0,2.0,28.0,10.0,2.0,22.0,11.0,219.0,10.0,3.0,65.0,0.0,1.0,52.0,14.0,16.0,4.0,0.0,1003.0,9.0,1.0
carmina fragmenta,101,0,0,0,0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,4.0,2.0,3.0,10.0,7.0,4.0,0.0,1.0,1.0,0.0,0.0,6.0,47.0,2.0,0.0,0.0,100.0,1.0,1.0
cato maior de senectute,406,24,9,0,14,72.0,7.0,21.0,6.0,75.0,23.0,11.0,2.0,0.0,7.0,4.0,1.0,10.0,3.0,70.0,2.0,3.0,18.0,0.0,3.0,17.0,15.0,6.0,4.0,0.0,380.0,2.0,1.0
commentarii causarum,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
de divinatione,1449,75,3,6,48,214.0,31.0,79.0,9.0,196.0,96.0,35.0,14.0,4.0,32.0,13.0,7.0,25.0,18.0,253.0,9.0,8.0,70.0,1.0,4.0,94.0,73.0,59.0,13.0,1.0,1358.0,16.0,1.0
de domo sua,606,50,9,8,33,104.0,12.0,40.0,5.0,46.0,26.0,6.0,3.0,1.0,9.0,4.0,2.0,2.0,7.0,175.0,7.0,1.0,32.0,1.0,1.0,35.0,11.0,8.0,5.0,1.0,544.0,12.0,1.0
de fato,221,18,0,2,3,34.0,5.0,8.0,0.0,26.0,18.0,1.0,2.0,1.0,3.0,4.0,2.0,6.0,1.0,41.0,1.0,0.0,14.0,0.0,0.0,19.0,4.0,6.0,4.0,1.0,201.0,2.0,1.0
de finibus,2311,64,7,17,36,281.0,43.0,126.0,25.0,342.0,207.0,39.0,19.0,6.0,50.0,18.0,9.0,48.0,35.0,477.0,19.0,14.0,144.0,8.0,4.0,161.0,44.0,71.0,18.0,7.0,2215.0,32.0,1.0
de haruspicum responso,311,17,4,2,8,59.0,8.0,28.0,5.0,22.0,16.0,4.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0,78.0,8.0,0.0,7.0,0.0,0.0,30.0,9.0,1.0,1.0,1.0,292.0,2.0,1.0
de inventore,1325,34,0,11,3,181.0,30.0,39.0,18.0,42.0,75.0,9.0,3.0,10.0,21.0,8.0,12.0,13.0,26.0,404.0,9.0,5.0,76.0,3.0,7.0,182.0,40.0,50.0,13.0,7.0,1283.0,8.0,1.0
de iure civ in artem redig,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
de lege agraria,652,52,15,11,26,130.0,8.0,32.0,13.0,50.0,44.0,5.0,3.0,2.0,6.0,6.0,2.0,6.0,5.0,146.0,4.0,3.0,41.0,2.0,0.0,51.0,15.0,9.0,4.0,0.0,587.0,13.0,1.0
de legibus,1062,94,2,44,14,105.0,10.0,50.0,11.0,180.0,93.0,21.0,10.0,2.0,31.0,10.0,9.0,24.0,18.0,182.0,9.0,7.0,71.0,3.0,0.0,63.0,18.0,21.0,9.0,1.0,958.0,10.0,1.0
de natura deorum,1415,13,1,8,2,217.0,31.0,92.0,15.0,211.0,85.0,25.0,9.0,4.0,24.0,15.0,6.0,26.0,14.0,309.0,10.0,6.0,93.0,1.0,2.0,94.0,57.0,30.0,13.0,4.0,1393.0,9.0,1.0
de officiis,1582,73,17,8,22,213.0,51.0,112.0,23.0,275.0,105.0,32.0,11.0,4.0,23.0,12.0,4.0,35.0,13.0,313.0,16.0,5.0,96.0,5.0,2.0,83.0,22.0,30.0,13.0,2.0,1500.0,9.0,1.0
de optimo genere oratorum,74,1,0,0,1,4.0,1.0,2.0,0.0,17.0,5.0,3.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,16.0,0.0,0.0,6.0,0.0,0.0,5.0,1.0,1.0,4.0,1.0,73.0,0.0,1.0
de oratore,1666,93,14,25,30,301.0,57.0,144.0,20.0,151.0,118.0,16.0,6.0,7.0,28.0,7.0,10.0,30.0,16.0,327.0,30.0,10.0,84.0,3.0,5.0,106.0,33.0,34.0,12.0,7.0,1562.0,11.0,1.0
de partitione oratoria,409,10,0,1,9,75.0,12.0,20.0,5.0,39.0,23.0,5.0,1.0,0.0,7.0,4.0,2.0,11.0,5.0,96.0,1.0,0.0,24.0,0.0,1.0,31.0,13.0,8.0,6.0,4.0,393.0,6.0,1.0
de provinciis consularibus,186,10,5,0,5,33.0,2.0,24.0,4.0,11.0,11.0,3.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,51.0,2.0,2.0,3.0,0.0,0.0,13.0,3.0,2.0,1.0,0.0,174.0,2.0,1.0
de republica,1270,441,39,11,23,94.0,14.0,38.0,8.0,147.0,106.0,17.0,7.0,5.0,23.0,11.0,1.0,24.0,11.0,119.0,6.0,5.0,61.0,2.0,1.0,66.0,16.0,25.0,9.0,2.0,818.0,11.0,1.0
epistula ad ocatianum,50,3,0,1,0,9.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,45.0,2.0,1.0
epistulae ad atticum,9893,1215,141,241,682,872.0,179.0,281.0,197.0,769.0,658.0,128.0,57.0,34.0,168.0,97.0,72.0,167.0,171.0,1556.0,88.0,103.0,534.0,30.0,73.0,1157.0,280.0,514.0,181.0,95.0,8461.0,217.0,1.0
epistulae ad atticum book 1,592,62,18,4,37,60.0,9.0,19.0,15.0,44.0,41.0,8.0,1.0,0.0,9.0,4.0,1.0,12.0,12.0,117.0,7.0,4.0,22.0,0.0,4.0,77.0,14.0,24.0,12.0,6.0,522.0,8.0,1.0
epistulae ad atticum book 10,584,54,4,14,28,51.0,5.0,19.0,7.0,47.0,35.0,9.0,1.0,3.0,6.0,7.0,4.0,12.0,15.0,110.0,7.0,7.0,30.0,4.0,8.0,68.0,18.0,35.0,11.0,3.0,522.0,8.0,1.0
epistulae ad atticum book 11,558,81,3,16,61,49.0,14.0,12.0,12.0,46.0,34.0,9.0,1.0,0.0,8.0,7.0,4.0,12.0,7.0,85.0,3.0,5.0,28.0,2.0,3.0,72.0,12.0,27.0,15.0,3.0,470.0,7.0,1.0
epistulae ad atticum book 12,787,45,10,20,13,72.0,18.0,28.0,24.0,63.0,58.0,11.0,5.0,3.0,20.0,7.0,4.0,18.0,14.0,141.0,9.0,9.0,54.0,2.0,2.0,70.0,31.0,39.0,14.0,8.0,724.0,18.0,1.0
epistulae ad atticum book 13,883,80,6,39,28,79.0,18.0,22.0,16.0,59.0,61.0,10.0,7.0,3.0,14.0,5.0,7.0,13.0,15.0,139.0,12.0,13.0,49.0,3.0,11.0,104.0,22.0,64.0,15.0,12.0,773.0,30.0,1.0
epistulae ad atticum book 14,586,48,3,10,28,62.0,15.0,21.0,8.0,61.0,35.0,9.0,0.0,0.0,11.0,7.0,5.0,7.0,13.0,96.0,6.0,9.0,32.0,2.0,4.0,68.0,14.0,28.0,9.0,3.0,525.0,13.0,1.0
epistulae ad atticum book 15,640,70,3,33,25,59.0,9.0,25.0,14.0,53.0,41.0,8.0,5.0,2.0,9.0,2.0,6.0,11.0,8.0,100.0,6.0,11.0,34.0,3.0,4.0,93.0,12.0,28.0,11.0,2.0,556.0,14.0,1.0
epistulae ad atticum book 16,605,69,6,19,39,52.0,8.0,21.0,5.0,53.0,35.0,11.0,4.0,1.0,6.0,10.0,6.0,8.0,15.0,85.0,3.0,5.0,27.0,2.0,9.0,66.0,19.0,38.0,17.0,4.0,510.0,26.0,1.0
epistulae ad atticum book 2,694,76,4,9,56,69.0,16.0,25.0,13.0,44.0,40.0,5.0,4.0,0.0,17.0,6.0,7.0,10.0,9.0,121.0,3.0,8.0,42.0,4.0,3.0,76.0,22.0,35.0,14.0,11.0,604.0,14.0,1.0
