,title,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),misc_clausulae,author
8,de domo sua,137,16,51,11,61,35,11,4,1,13,4,4,5,8,223,11,2,42,2,1,52,13,14,5,1,17,cicero
11,de haruspicum responso,82,8,37,9,26,26,4,2,1,4,4,3,6,2,105,9,2,12,0,1,41,11,2,2,1,2,cicero
15,de lege agraria 1,23,2,6,4,12,13,2,0,0,2,0,2,1,1,44,0,0,10,1,0,13,0,1,0,0,5,cicero
16,de lege agraria 2,131,8,26,10,35,38,4,3,2,10,7,3,8,7,130,4,3,38,1,0,49,15,16,5,0,11,cicero
17,de lege agraria 3,13,2,3,3,11,9,1,0,0,0,1,1,0,1,16,0,1,4,1,0,9,1,1,0,0,5,cicero
24,de provinciis consularibus,48,3,31,4,21,19,3,2,0,4,1,2,3,3,71,3,5,4,0,0,17,4,3,1,0,2,cicero
54,in caecilium,66,7,15,10,29,30,3,1,0,8,3,2,3,4,70,1,1,16,0,1,23,8,6,4,0,6,cicero
56,in catilinam 1,43,1,15,4,16,11,5,1,0,4,1,0,6,3,35,0,1,16,0,1,7,8,4,1,1,6,cicero
57,in catilinam 2,33,4,9,4,25,14,0,1,0,8,4,1,4,2,40,3,0,8,0,0,10,1,4,0,1,4,cicero
58,in catilinam 3,42,5,8,1,9,8,4,0,1,2,1,1,2,2,36,0,2,2,0,0,12,2,3,2,0,1,cicero
59,in catilinam 4,33,1,11,3,11,9,2,2,1,1,2,2,1,1,40,2,1,5,1,0,5,0,4,0,0,0,cicero
60,in pisonem,130,20,23,10,51,36,8,2,1,6,6,2,5,8,175,2,3,30,0,3,56,13,13,4,0,12,cicero
62,in vatinium,39,1,18,4,18,16,1,1,0,3,2,0,2,3,50,3,0,7,0,0,18,0,2,1,1,0,cicero
64,in verrem 1,39,7,18,8,19,18,1,0,1,6,2,0,5,2,48,0,1,19,2,1,25,9,5,4,0,3,cicero
65,in verrem 2 1,163,21,48,26,66,89,11,2,2,23,12,4,16,18,208,6,11,63,0,6,127,19,37,16,5,18,cicero
66,in verrem 2 2,194,35,56,22,95,92,8,6,6,25,16,8,30,17,260,13,3,76,1,3,114,31,46,26,3,24,cicero
67,in verrem 2 3,245,45,66,32,123,113,16,10,3,28,23,18,22,31,426,18,10,84,2,3,168,37,46,20,5,36,cicero
68,in verrem 2 4,215,26,53,22,86,98,9,4,6,25,8,9,22,21,243,7,10,60,1,6,90,28,26,13,1,24,cicero
69,in verrem 2 5,229,31,62,21,90,79,8,1,5,15,4,4,17,15,265,7,15,51,1,4,105,20,26,14,5,23,cicero
78,philippicae 1,53,9,11,5,38,18,3,0,0,3,2,0,5,5,57,1,3,13,0,0,32,2,5,4,1,4,cicero
79,philippicae 10,37,1,8,1,28,13,4,1,0,4,0,1,3,2,33,1,0,12,0,0,13,4,4,1,1,5,cicero
80,philippicae 11,49,4,16,4,53,13,5,2,1,3,2,0,5,8,66,6,1,21,1,1,29,2,5,3,2,3,cicero
81,philippicae 12,45,6,11,3,45,26,3,1,0,12,4,0,5,6,48,2,0,14,0,2,21,2,8,3,3,4,cicero
82,philippicae 13,73,9,26,7,71,21,7,1,1,9,0,2,3,3,91,7,0,18,1,1,30,8,14,5,0,9,cicero
83,philippicae 14,32,6,16,1,34,15,1,1,1,1,0,0,5,4,59,2,0,5,0,0,19,1,1,1,0,4,cicero
84,philippicae 2,160,27,66,21,122,51,16,5,0,14,7,5,15,8,202,21,7,39,1,6,87,15,19,5,1,20,cicero
85,philippicae 3,42,9,19,2,45,15,5,2,1,7,0,0,0,1,56,5,0,9,0,1,15,2,7,3,0,3,cicero
86,philippicae 4,22,2,5,2,19,6,3,0,0,0,0,0,1,0,27,1,0,2,0,0,2,1,3,0,0,0,cicero
87,philippicae 5,70,10,18,5,47,20,6,2,3,4,1,3,4,6,66,5,3,25,1,1,35,6,13,7,1,8,cicero
88,philippicae 6,34,2,10,1,18,7,4,0,0,4,1,1,1,2,35,1,1,6,0,0,11,2,9,0,1,0,cicero
89,philippicae 7,23,1,6,2,24,11,3,1,0,3,2,0,4,1,33,3,0,9,0,0,20,2,4,1,0,5,cicero
90,philippicae 8,44,5,14,5,27,23,5,0,1,4,3,1,3,6,44,3,0,14,0,0,34,6,16,3,0,1,cicero
91,philippicae 9,18,4,3,1,11,2,2,0,0,2,2,0,0,0,21,0,0,6,0,0,4,0,1,1,0,0,cicero
93,post reditum ad populum,25,1,11,1,5,1,2,1,0,0,1,0,0,3,33,2,1,3,0,0,7,3,0,2,0,0,cicero
94,post reditum in senatu,37,9,14,4,13,4,1,1,0,1,0,1,1,0,55,2,1,3,0,0,19,2,1,2,0,1,cicero
95,pro archia,27,3,10,3,9,7,0,0,1,1,2,0,1,2,45,3,0,4,0,1,10,1,1,0,0,1,cicero
96,pro balbo,76,5,23,7,26,15,2,2,0,2,0,2,1,3,120,2,3,5,0,1,18,2,7,0,0,0,cicero
97,pro caecina,97,15,26,11,44,49,9,2,1,7,10,3,10,6,136,8,3,29,1,3,73,20,25,3,0,14,cicero
98,pro caelio,110,9,33,8,45,26,4,3,0,8,3,2,8,9,153,6,3,15,1,3,30,9,15,0,4,7,cicero
99,pro cluentio,247,23,64,23,69,80,18,9,7,14,6,16,20,20,284,10,6,64,3,4,127,23,21,11,4,26,cicero
100,pro flacco,120,19,49,13,64,53,6,6,1,12,7,5,12,13,221,7,6,31,1,0,66,12,22,4,3,20,cicero
101,pro fonteio,48,7,18,3,12,15,1,1,0,2,1,1,3,7,51,1,1,10,1,1,20,3,4,3,0,5,cicero
102,pro lege manilia,87,6,31,5,13,10,1,2,0,0,0,1,4,5,84,2,0,5,0,0,22,3,2,1,0,0,cicero
103,pro ligario,36,6,20,1,30,18,4,2,0,2,2,1,5,5,53,1,2,11,0,1,21,4,7,5,1,12,cicero
104,pro marcello,21,4,8,1,28,7,8,1,0,4,0,1,1,0,34,1,0,15,0,0,8,0,0,2,0,1,cicero
105,pro milone,97,5,31,10,70,46,5,4,0,13,8,3,14,5,152,9,1,26,1,1,53,15,11,6,2,10,cicero
106,pro murena,93,16,44,16,48,57,6,2,2,14,7,6,16,5,144,6,3,30,0,2,51,7,16,3,2,12,cicero
107,pro plancio,121,15,42,10,46,30,10,2,1,12,6,6,13,5,210,7,6,14,0,1,41,15,16,3,0,8,cicero
108,pro quinctio,75,15,15,18,50,42,2,1,3,18,4,3,16,14,119,8,5,33,1,1,75,16,16,8,1,28,cicero
109,pro rabirio perduellionis reo,32,3,8,1,5,18,0,1,0,2,3,1,4,2,37,2,0,6,0,0,16,3,4,0,0,1,cicero
110,pro rabirio postumo,36,9,9,4,31,24,2,0,1,6,4,2,9,6,56,0,1,14,0,2,34,7,8,4,3,4,cicero
111,pro rege deiotaro,50,4,14,1,40,21,9,3,0,1,0,1,4,3,49,2,0,9,0,0,21,2,8,2,1,2,cicero
112,pro roscio amerino,79,28,35,19,60,72,14,5,0,18,10,10,17,15,181,12,8,36,2,4,80,23,31,14,8,29,cicero
113,pro roscio comoedo,54,9,11,11,18,23,2,1,5,6,6,3,3,9,73,8,2,15,0,2,93,14,35,8,3,14,cicero
114,pro scauro,40,3,14,3,14,8,2,0,0,2,0,0,0,1,52,1,2,1,1,1,20,1,6,1,1,8,cicero
115,pro sestio,199,19,50,16,57,45,9,4,0,7,3,2,8,7,238,5,4,30,3,2,109,19,16,9,2,11,cicero
116,pro sulla,106,6,28,11,42,38,2,1,3,11,3,2,5,7,126,6,3,15,0,2,47,7,11,8,1,8,cicero
117,pro tullio,15,8,6,6,13,15,2,1,1,7,2,2,7,5,47,2,2,13,0,0,28,2,15,2,1,11,cicero
