,title,total clausulae,pure cretic trochee (-u--x),cretic trochee 1 res (uuu--x),cretic trochee 1 res (-uuu-x),cretic trochee 1 res (-u-uux),cretic trochee 1 res total,cretic trochee 2 res (uuuuu-x),cretic trochee 2 res (uuu-uux),cretic trochee 2 res (-uuuuux),cretic trochee 2 res total,cretic trochee pure+res total,cretic trochee choriambic res,cretic trochee chor 1 res (uuuu--x),cretic trochee chor 1 res (-uuuu-x),cretic trochee chor 1 res (-uu-uux),cretic trochee chor 1 res total,cretic trochee choriambic total,cretic trochee epitrite res,cretic trochee ep 1 res (uuu---x),cretic trochee ep 1 res (-uuu--x),cretic trochee ep 1 res (-u-uu-x),cretic trochee ep 1 res (-u--uux),cretic trochee ep 1 res total,cretic trochee epitrite total,cretic trochee total,double/molossus-cretic pure double cretic,double/molossus-cretic pure molossus cretic,double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic 1 res total,double/molossus-cretic pure+res total,double/molossus-cretic choriambic res,double/molossus-cretic chor 1 res (uuuu--ux),double/molossus-cretic chor 1 res (-uuuu-ux),double/molossus-cretic chor 1 res (-uu-uuux),double/molossus-cretic chor 1 res total,double/molossus-cretic chor total,double/molossus-cretic epitrite res,double/molossus-cretic epitrite 1 res (uuu---ux),double/molossus-cretic epitrite 1 res (-uuu--ux),double/molossus-cretic epitrite 1 res (-u-uu-ux),double/molossus-cretic epitrite 1 res total,double/molossus-cretic ep total,double/molossus-cretic total
0,pro roscio comoedo,980.0,55.0,9.0,11.0,11.0,31.0,2.0,4.0,1.0,7.0,93.0,8.0,2.0,4.0,3.0,9.0,17.0,23.0,4.0,6.0,4.0,3.0,17.0,40.0,150.0,18.0,26.0,2.0,1.0,5.0,8.0,52.0,3.0,1.0,0.0,0.0,1.0,4.0,8.0,3.0,1.0,1.0,5.0,13.0,69.0
1,lucullus,2328.0,155.0,30.0,55.0,18.0,103.0,2.0,3.0,4.0,9.0,267.0,7.0,2.0,11.0,5.0,18.0,25.0,24.0,6.0,26.0,5.0,5.0,42.0,66.0,358.0,159.0,86.0,27.0,10.0,4.0,41.0,286.0,31.0,9.0,1.0,2.0,12.0,43.0,17.0,10.0,17.0,3.0,30.0,47.0,376.0
2,pro fonteio,548.0,48.0,7.0,18.0,3.0,28.0,1.0,0.0,0.0,1.0,77.0,3.0,0.0,0.0,1.0,1.0,4.0,6.0,0.0,6.0,1.0,1.0,8.0,14.0,95.0,12.0,18.0,1.0,1.0,0.0,2.0,32.0,3.0,0.0,1.0,0.0,1.0,4.0,7.0,0.0,1.0,0.0,1.0,8.0,44.0
3,epistulae ad brutum,1382.0,78.0,19.0,26.0,11.0,56.0,3.0,3.0,3.0,9.0,143.0,10.0,2.0,3.0,4.0,9.0,19.0,18.0,3.0,16.0,10.0,11.0,40.0,58.0,220.0,69.0,50.0,7.0,9.0,2.0,18.0,137.0,9.0,0.0,1.0,1.0,2.0,11.0,16.0,4.0,6.0,4.0,14.0,30.0,178.0
4,pro balbo,696.0,79.0,5.0,25.0,7.0,37.0,2.0,1.0,0.0,3.0,119.0,0.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0,3.0,5.0,128.0,26.0,15.0,2.0,2.0,1.0,5.0,46.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,4.0,52.0
5,orator,2410.0,150.0,34.0,53.0,19.0,106.0,10.0,1.0,1.0,12.0,268.0,11.0,2.0,3.0,3.0,8.0,19.0,18.0,3.0,32.0,4.0,4.0,43.0,61.0,348.0,222.0,96.0,29.0,16.0,3.0,48.0,366.0,25.0,6.0,0.0,0.0,6.0,31.0,17.0,8.0,22.0,1.0,31.0,48.0,445.0
6,de fato,698.0,47.0,6.0,13.0,3.0,22.0,3.0,1.0,1.0,5.0,74.0,8.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,6.0,2.0,1.0,10.0,14.0,96.0,43.0,25.0,7.0,2.0,2.0,11.0,79.0,10.0,1.0,0.0,0.0,1.0,11.0,1.0,2.0,6.0,0.0,8.0,9.0,99.0
7,de partitione oratoria,1200.0,105.0,18.0,31.0,10.0,59.0,2.0,2.0,5.0,9.0,173.0,8.0,2.0,1.0,0.0,3.0,11.0,12.0,5.0,16.0,1.0,1.0,23.0,35.0,219.0,55.0,40.0,8.0,5.0,0.0,13.0,108.0,13.0,4.0,0.0,0.0,4.0,17.0,7.0,1.0,3.0,1.0,5.0,12.0,137.0
8,laelius de amicitia,1174.0,96.0,13.0,44.0,13.0,70.0,1.0,3.0,2.0,6.0,172.0,4.0,3.0,1.0,1.0,5.0,9.0,8.0,2.0,10.0,2.0,0.0,14.0,22.0,203.0,87.0,32.0,11.0,5.0,1.0,17.0,136.0,11.0,2.0,0.0,0.0,2.0,13.0,5.0,0.0,9.0,2.0,11.0,16.0,165.0
9,pro rabirio postumo,610.0,36.0,10.0,9.0,4.0,23.0,1.0,1.0,3.0,5.0,64.0,4.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,8.0,2.0,1.0,13.0,19.0,87.0,32.0,24.0,3.0,0.0,1.0,4.0,60.0,9.0,0.0,0.0,0.0,0.0,9.0,6.0,1.0,3.0,0.0,4.0,10.0,79.0
