title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,total_unartistic,percent_clausulae
ab urbe condita,30648,1563,919,532,69,1738.0,365.0,339.0,691.0,1127.0,550.0,129.0,127.0,243.0,124.0,181.0,332.0,132.0,173.0,3458.0,176.0,293.0,1146.0,33.0,211.0,10603.0,2209.0,3473.0,999.0,125.0,11568.0,108.0,17517.0,0.4014440433212996
ab urbe condita 1,1175,24,9,5,6,82.0,14.0,17.0,43.0,77.0,19.0,6.0,10.0,11.0,7.0,6.0,24.0,5.0,5.0,185.0,8.0,19.0,90.0,2.0,6.0,279.0,67.0,127.0,26.0,5.0,636.0,11.0,515.0,0.5621198957428323
ab urbe condita 10,1012,42,32,9,1,77.0,10.0,11.0,32.0,49.0,17.0,4.0,7.0,16.0,0.0,3.0,13.0,3.0,9.0,125.0,3.0,12.0,42.0,1.0,7.0,355.0,48.0,92.0,26.0,4.0,441.0,4.0,529.0,0.4587628865979381
ab urbe condita 2,1365,65,46,14,5,115.0,15.0,25.0,61.0,91.0,28.0,9.0,9.0,19.0,7.0,8.0,31.0,7.0,6.0,181.0,6.0,24.0,85.0,2.0,8.0,299.0,69.0,148.0,31.0,12.0,737.0,4.0,563.0,0.57
ab urbe condita 21,864,19,7,9,0,39.0,8.0,6.0,10.0,29.0,15.0,4.0,7.0,2.0,2.0,6.0,12.0,1.0,4.0,74.0,5.0,15.0,35.0,3.0,7.0,340.0,66.0,121.0,31.0,2.0,284.0,1.0,561.0,0.33727810650887574
ab urbe condita 22,916,43,16,24,3,36.0,9.0,8.0,27.0,27.0,11.0,5.0,1.0,6.0,4.0,8.0,13.0,4.0,5.0,100.0,8.0,10.0,31.0,1.0,6.0,327.0,66.0,116.0,37.0,5.0,320.0,2.0,553.0,0.36884306987399773
ab urbe condita 23,817,27,10,13,4,52.0,9.0,5.0,19.0,18.0,9.0,2.0,3.0,4.0,7.0,5.0,12.0,8.0,4.0,69.0,5.0,3.0,25.0,0.0,5.0,312.0,52.0,125.0,29.0,4.0,264.0,4.0,526.0,0.3392405063291139
ab urbe condita 24,805,36,18,17,1,56.0,10.0,3.0,18.0,15.0,11.0,3.0,2.0,8.0,5.0,5.0,10.0,4.0,4.0,73.0,8.0,4.0,26.0,0.0,1.0,295.0,67.0,108.0,28.0,1.0,266.0,4.0,503.0,0.3511053315994798
ab urbe condita 25,788,29,16,13,0,33.0,14.0,8.0,16.0,26.0,4.0,5.0,0.0,9.0,1.0,4.0,6.0,2.0,5.0,58.0,6.0,7.0,22.0,0.0,3.0,314.0,63.0,115.0,31.0,6.0,229.0,1.0,530.0,0.30303030303030304
ab urbe condita 26,960,30,21,8,1,42.0,6.0,9.0,10.0,36.0,20.0,0.0,7.0,8.0,1.0,7.0,12.0,6.0,9.0,91.0,9.0,6.0,24.0,1.0,8.0,359.0,87.0,118.0,48.0,4.0,312.0,2.0,618.0,0.33763440860215055
