title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
ab urbe condita,73459,6397,2334,722,3292,4795.0,878.0,925.0,1774.0,2589.0,1985.0,345.0,296.0,561.0,455.0,480.0,782.0,465.0,631.0,9256.0,517.0,907.0,2845.0,134.0,629.0,19910.0,4350.0,7053.0,1983.0,323.0,64868.0,2194.0,1.0
ab urbe condita 1,2513,167,18,14,131,193.0,28.0,32.0,90.0,135.0,55.0,16.0,18.0,30.0,16.0,15.0,42.0,12.0,17.0,382.0,20.0,37.0,149.0,2.0,17.0,540.0,117.0,218.0,67.0,12.0,2260.0,86.0,1.0
ab urbe condita 10,2071,173,71,12,90,160.0,19.0,29.0,63.0,91.0,54.0,9.0,10.0,25.0,8.0,12.0,26.0,11.0,13.0,261.0,13.0,31.0,92.0,2.0,14.0,581.0,97.0,169.0,48.0,10.0,1848.0,50.0,1.0
ab urbe condita 2,2935,229,94,21,114,247.0,34.0,55.0,108.0,169.0,78.0,22.0,17.0,31.0,19.0,16.0,61.0,15.0,18.0,430.0,18.0,55.0,140.0,7.0,17.0,571.0,131.0,262.0,63.0,24.0,2608.0,98.0,1.0
ab urbe condita 21,2124,133,24,15,90,123.0,21.0,22.0,34.0,70.0,64.0,8.0,13.0,14.0,14.0,14.0,25.0,11.0,14.0,207.0,13.0,38.0,91.0,8.0,26.0,634.0,133.0,267.0,70.0,6.0,1940.0,51.0,1.0
ab urbe condita 22,2386,207,58,37,112,123.0,24.0,26.0,77.0,77.0,68.0,18.0,5.0,14.0,10.0,25.0,31.0,17.0,18.0,286.0,15.0,25.0,95.0,2.0,19.0,643.0,142.0,273.0,78.0,13.0,2124.0,55.0,1.0
ab urbe condita 23,2010,174,51,22,101,122.0,27.0,16.0,50.0,52.0,42.0,4.0,6.0,8.0,16.0,16.0,25.0,16.0,21.0,219.0,16.0,25.0,62.0,2.0,15.0,597.0,130.0,231.0,56.0,9.0,1783.0,53.0,1.0
ab urbe condita 24,1805,128,47,19,62,144.0,22.0,24.0,50.0,39.0,45.0,9.0,6.0,19.0,13.0,14.0,21.0,12.0,11.0,201.0,20.0,13.0,65.0,4.0,13.0,509.0,117.0,204.0,49.0,9.0,1633.0,44.0,1.0
ab urbe condita 25,1859,131,52,19,60,100.0,27.0,20.0,47.0,66.0,42.0,10.0,4.0,15.0,9.0,16.0,20.0,7.0,18.0,175.0,10.0,24.0,64.0,5.0,16.0,594.0,122.0,212.0,59.0,10.0,1692.0,36.0,1.0
ab urbe condita 26,1990,118,53,13,52,88.0,15.0,22.0,28.0,59.0,54.0,4.0,11.0,16.0,9.0,14.0,20.0,16.0,21.0,225.0,18.0,22.0,81.0,6.0,18.0,653.0,135.0,216.0,74.0,7.0,1832.0,40.0,1.0
ab urbe condita 27,2022,156,109,10,37,95.0,34.0,17.0,30.0,78.0,54.0,2.0,6.0,18.0,19.0,13.0,16.0,15.0,16.0,211.0,15.0,22.0,71.0,1.0,14.0,643.0,143.0,218.0,76.0,6.0,1833.0,33.0,1.0
ab urbe condita 28,2015,130,60,6,64,105.0,17.0,14.0,49.0,70.0,70.0,10.0,10.0,11.0,12.0,21.0,29.0,14.0,13.0,213.0,9.0,23.0,54.0,2.0,11.0,630.0,128.0,255.0,56.0,12.0,1838.0,47.0,1.0
ab urbe condita 29,1396,82,50,4,28,59.0,16.0,15.0,31.0,44.0,35.0,9.0,8.0,7.0,10.0,9.0,13.0,10.0,5.0,155.0,8.0,11.0,58.0,0.0,12.0,449.0,110.0,155.0,48.0,4.0,1281.0,33.0,1.0
ab urbe condita 3,3137,207,104,6,97,289.0,28.0,49.0,124.0,172.0,75.0,16.0,15.0,35.0,14.0,16.0,30.0,16.0,28.0,508.0,21.0,40.0,152.0,5.0,23.0,657.0,160.0,285.0,70.0,14.0,2842.0,88.0,1.0
ab urbe condita 30,1581,115,63,4,48,78.0,21.0,18.0,25.0,53.0,41.0,9.0,3.0,8.0,15.0,10.0,18.0,8.0,17.0,161.0,14.0,14.0,56.0,6.0,15.0,476.0,132.0,186.0,48.0,9.0,1441.0,25.0,1.0
ab urbe condita 31,1614,114,44,9,60,82.0,24.0,14.0,32.0,46.0,40.0,8.0,7.0,17.0,6.0,14.0,13.0,9.0,11.0,181.0,9.0,20.0,54.0,0.0,12.0,526.0,116.0,167.0,44.0,8.0,1460.0,40.0,1.0
ab urbe condita 32,1370,90,37,8,36,67.0,14.0,20.0,29.0,39.0,40.0,4.0,4.0,8.0,9.0,11.0,14.0,13.0,20.0,142.0,11.0,11.0,59.0,2.0,15.0,437.0,99.0,136.0,45.0,7.0,1256.0,24.0,1.0
ab urbe condita 33,1424,90,49,11,30,78.0,28.0,13.0,24.0,50.0,41.0,8.0,3.0,17.0,12.0,11.0,9.0,11.0,15.0,163.0,11.0,12.0,44.0,2.0,15.0,467.0,107.0,120.0,42.0,5.0,1308.0,26.0,1.0
ab urbe condita 34,1968,145,57,14,74,113.0,19.0,38.0,36.0,51.0,61.0,6.0,9.0,17.0,14.0,15.0,19.0,6.0,17.0,270.0,12.0,27.0,68.0,3.0,15.0,581.0,137.0,164.0,49.0,8.0,1755.0,68.0,1.0
