title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,total_unartistic,percent_clausulae
apocolocyntosis,304,28,2,9,7,20.0,3.0,4.0,8.0,13.0,10.0,3.0,0.0,2.0,1.0,5.0,6.0,1.0,15.0,36.0,2.0,8.0,10.0,2.0,1.0,46.0,29.0,33.0,6.0,6.0,150.0,6.0,126.0,0.5652173913043478
apocolocyntosis no verse,263,29,2,9,6,18.0,3.0,4.0,8.0,13.0,10.0,2.0,0.0,1.0,0.0,5.0,5.0,1.0,10.0,34.0,2.0,8.0,10.0,2.0,1.0,46.0,11.0,25.0,5.0,5.0,137.0,5.0,97.0,0.6068376068376068
de beneficiis,3817,136,1,32,100,601.0,88.0,71.0,249.0,406.0,227.0,69.0,37.0,29.0,57.0,46.0,33.0,53.0,48.0,364.0,23.0,46.0,219.0,21.0,64.0,441.0,99.0,228.0,58.0,32.0,2751.0,72.0,930.0,0.7669111654441728
de clementia,594,20,3,11,5,56.0,9.0,8.0,21.0,50.0,39.0,3.0,5.0,4.0,10.0,5.0,10.0,9.0,7.0,69.0,3.0,10.0,53.0,2.0,4.0,98.0,22.0,51.0,14.0,2.0,377.0,10.0,197.0,0.6742160278745645
dialogi,5732,192,3,81,105,863.0,125.0,157.0,372.0,675.0,387.0,88.0,55.0,47.0,89.0,92.0,67.0,71.0,80.0,651.0,31.0,61.0,324.0,19.0,35.0,632.0,124.0,313.0,67.0,19.0,4289.0,96.0,1251.0,0.7915162454873647
dialogi 1,358,10,0,2,8,84.0,4.0,16.0,32.0,69.0,14.0,4.0,2.0,0.0,2.0,3.0,3.0,2.0,2.0,24.0,3.0,1.0,21.0,0.0,1.0,20.0,7.0,16.0,7.0,1.0,287.0,10.0,61.0,0.853448275862069
dialogi 10,463,12,0,4,8,67.0,10.0,11.0,36.0,47.0,40.0,8.0,4.0,2.0,6.0,8.0,5.0,1.0,9.0,60.0,1.0,4.0,33.0,2.0,2.0,51.0,8.0,30.0,2.0,1.0,356.0,3.0,95.0,0.7960088691796009
dialogi 11,386,7,0,0,7,39.0,5.0,11.0,22.0,53.0,42.0,7.0,4.0,2.0,5.0,7.0,3.0,7.0,14.0,54.0,2.0,3.0,34.0,6.0,4.0,31.0,5.0,17.0,1.0,0.0,324.0,1.0,55.0,0.8575197889182058
dialogi 12,524,11,1,6,4,66.0,12.0,15.0,43.0,37.0,32.0,9.0,5.0,8.0,7.0,7.0,5.0,7.0,3.0,66.0,1.0,9.0,35.0,2.0,7.0,73.0,17.0,32.0,8.0,1.0,376.0,6.0,137.0,0.7446393762183235
dialogi 2,341,12,0,5,7,36.0,8.0,7.0,15.0,33.0,24.0,6.0,4.0,6.0,13.0,8.0,5.0,5.0,5.0,30.0,3.0,2.0,15.0,1.0,2.0,55.0,8.0,29.0,4.0,0.0,228.0,5.0,101.0,0.7082066869300911
