,title,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),misc_clausulae,author
0,agricola,45.0,2.0,9.0,13.0,24.0,15.0,2.0,1.0,2.0,6.0,7.0,6.0,5.0,6.0,74.0,2.0,7.0,29.0,3.0,1.0,95.0,20.0,37.0,17.0,2.0,4.0,tacitus
2,annales book 1,66.0,10.0,8.0,22.0,32.0,34.0,5.0,9.0,4.0,12.0,11.0,15.0,6.0,13.0,112.0,7.0,12.0,35.0,2.0,7.0,184.0,48.0,68.0,25.0,0.0,7.0,tacitus
3,annales book 11,25.0,5.0,6.0,13.0,18.0,8.0,1.0,2.0,2.0,5.0,6.0,1.0,4.0,7.0,53.0,1.0,4.0,20.0,1.0,6.0,74.0,18.0,23.0,7.0,0.0,1.0,tacitus
4,annales book 12,45.0,8.0,16.0,21.0,19.0,15.0,4.0,3.0,3.0,5.0,4.0,4.0,10.0,2.0,76.0,3.0,0.0,27.0,2.0,3.0,111.0,25.0,42.0,14.0,1.0,6.0,tacitus
5,annales book 13,43.0,11.0,6.0,5.0,16.0,11.0,3.0,2.0,6.0,3.0,6.0,7.0,6.0,10.0,72.0,5.0,5.0,21.0,1.0,6.0,115.0,29.0,35.0,11.0,2.0,2.0,tacitus
6,annales book 14,49.0,6.0,10.0,22.0,25.0,23.0,2.0,2.0,6.0,6.0,7.0,4.0,13.0,9.0,67.0,3.0,4.0,31.0,1.0,5.0,116.0,37.0,43.0,21.0,1.0,8.0,tacitus
7,annales book 15,64.0,8.0,11.0,14.0,26.0,22.0,3.0,1.0,4.0,7.0,4.0,7.0,13.0,9.0,85.0,3.0,2.0,27.0,0.0,7.0,127.0,33.0,48.0,19.0,3.0,4.0,tacitus
8,annales book 16,24.0,7.0,4.0,11.0,7.0,13.0,3.0,1.0,0.0,2.0,2.0,5.0,3.0,4.0,30.0,2.0,8.0,16.0,0.0,2.0,47.0,14.0,17.0,7.0,1.0,5.0,tacitus
9,annales book 2,48.0,5.0,14.0,20.0,40.0,32.0,4.0,2.0,7.0,11.0,9.0,4.0,8.0,10.0,106.0,3.0,6.0,17.0,0.0,6.0,178.0,37.0,70.0,24.0,5.0,10.0,tacitus
10,annales book 3,64.0,13.0,10.0,19.0,23.0,19.0,2.0,5.0,7.0,10.0,5.0,4.0,10.0,7.0,93.0,11.0,4.0,17.0,4.0,6.0,126.0,43.0,57.0,24.0,2.0,5.0,tacitus
11,annales book 4,42.0,9.0,13.0,23.0,36.0,28.0,7.0,5.0,6.0,9.0,5.0,2.0,7.0,5.0,105.0,5.0,2.0,41.0,2.0,6.0,162.0,37.0,50.0,23.0,3.0,4.0,tacitus
12,annales book 5,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,5.0,2.0,4.0,2.0,0.0,0.0,tacitus
13,annales book 6,43.0,10.0,9.0,11.0,21.0,25.0,1.0,0.0,7.0,4.0,6.0,5.0,3.0,10.0,65.0,5.0,7.0,18.0,1.0,6.0,104.0,24.0,43.0,15.0,3.0,7.0,tacitus
14,dialogus,63.0,9.0,8.0,16.0,24.0,15.0,8.0,2.0,4.0,1.0,3.0,3.0,7.0,9.0,87.0,3.0,4.0,21.0,2.0,0.0,80.0,10.0,28.0,7.0,2.0,5.0,tacitus
15,germania,55.0,8.0,13.0,26.0,22.0,12.0,3.0,4.0,4.0,8.0,8.0,4.0,8.0,6.0,78.0,4.0,9.0,29.0,0.0,3.0,78.0,27.0,28.0,10.0,4.0,5.0,tacitus
17,historiae book 1,91.0,9.0,15.0,27.0,35.0,30.0,5.0,2.0,6.0,14.0,6.0,14.0,10.0,13.0,117.0,5.0,11.0,42.0,0.0,6.0,175.0,43.0,51.0,25.0,2.0,4.0,tacitus
18,historiae book 2,80.0,12.0,23.0,35.0,43.0,35.0,6.0,4.0,3.0,11.0,12.0,12.0,4.0,13.0,139.0,9.0,8.0,33.0,2.0,4.0,214.0,56.0,72.0,34.0,3.0,11.0,tacitus
19,historiae book 3,93.0,13.0,6.0,24.0,36.0,26.0,1.0,5.0,9.0,14.0,19.0,8.0,11.0,9.0,126.0,3.0,12.0,40.0,1.0,7.0,212.0,42.0,71.0,33.0,1.0,6.0,tacitus
20,historiae book 4,118.0,8.0,19.0,30.0,39.0,42.0,5.0,9.0,8.0,4.0,14.0,13.0,10.0,6.0,131.0,10.0,9.0,44.0,3.0,10.0,241.0,55.0,91.0,27.0,3.0,10.0,tacitus
21,historiae book 5,30.0,6.0,7.0,6.0,9.0,8.0,3.0,2.0,0.0,1.0,4.0,3.0,5.0,7.0,37.0,4.0,2.0,9.0,0.0,6.0,69.0,23.0,18.0,7.0,1.0,5.0,tacitus
