title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,total_unartistic,percent_clausulae
annales,2,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
antiquitates rerum divinarum,185,88,0,4,11,18.0,1.0,5.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,1.0,4.0,4.0,0.0,1.0,21.0,2.0,8.0,2.0,1.0,57.0,6.0,40.0,0.6494845360824743
antiquitates rerum humanarum,106,27,3,19,1,10.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,2.0,0.0,1.0,21.0,5.0,12.0,4.0,0.0,37.0,0.0,42.0,0.46835443037974683
carmina,16,1,0,0,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,6.0,0.0,9.0,0.4
de gente populi romani,12,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,1.0,6.0,0.4444444444444444
de historia litterarum,8,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,6.0,0.42857142857142855
de lingua latina,3202,937,4,830,56,217.0,38.0,43.0,70.0,36.0,65.0,15.0,16.0,14.0,18.0,20.0,20.0,19.0,44.0,322.0,24.0,39.0,93.0,8.0,52.0,532.0,123.0,241.0,89.0,32.0,1173.0,75.0,1092.0,0.5509933774834437
de lingua latina book 5,991,243,0,227,11,70.0,18.0,13.0,21.0,12.0,16.0,6.0,5.0,3.0,7.0,6.0,3.0,5.0,20.0,118.0,10.0,13.0,27.0,1.0,12.0,188.0,43.0,80.0,34.0,4.0,386.0,13.0,362.0,0.5334224598930482
de lingua latina book 6,519,138,1,130,6,43.0,5.0,4.0,10.0,3.0,10.0,4.0,2.0,2.0,3.0,4.0,4.0,1.0,4.0,59.0,4.0,3.0,16.0,3.0,4.0,105.0,17.0,43.0,17.0,2.0,188.0,9.0,193.0,0.5170603674540682
de lingua latina book 7,620,211,1,169,27,33.0,3.0,7.0,10.0,5.0,20.0,3.0,4.0,1.0,1.0,2.0,7.0,5.0,12.0,51.0,2.0,9.0,18.0,4.0,4.0,74.0,31.0,44.0,15.0,3.0,201.0,41.0,208.0,0.5916870415647921
de lingua latina book 8,287,107,0,106,1,13.0,2.0,7.0,5.0,4.0,5.0,1.0,0.0,2.0,3.0,2.0,2.0,1.0,2.0,29.0,2.0,2.0,9.0,0.0,10.0,42.0,6.0,16.0,5.0,7.0,101.0,3.0,79.0,0.5777777777777777
de lingua latina book 9,674,196,1,190,6,52.0,9.0,12.0,21.0,9.0,10.0,1.0,4.0,6.0,4.0,6.0,3.0,7.0,5.0,59.0,6.0,9.0,16.0,0.0,22.0,107.0,24.0,47.0,18.0,15.0,261.0,6.0,217.0,0.5585774058577406
de vita populi romani,184,13,0,7,3,16.0,3.0,1.0,4.0,4.0,11.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,35.0,3.0,4.0,7.0,0.0,2.0,41.0,11.0,11.0,7.0,0.0,100.0,1.0,71.0,0.5906432748538012
