,title,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),misc_clausulae,author
0,de lingua latina,285.0,53.0,54.0,85.0,42.0,96.0,14.0,21.0,19.0,29.0,21.0,26.0,26.0,54.0,430.0,32.0,45.0,107.0,9.0,64.0,739.0,163.0,307.0,112.0,46.0,78.0,varro
1,menippeae,8.0,1.0,4.0,2.0,1.0,12.0,3.0,2.0,0.0,2.0,3.0,3.0,0.0,2.0,22.0,3.0,1.0,3.0,0.0,1.0,32.0,14.0,18.0,4.0,0.0,4.0,varro
2,de vita populi romani,17.0,2.0,1.0,4.0,5.0,15.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,35.0,3.0,4.0,12.0,0.0,1.0,37.0,10.0,10.0,6.0,0.0,1.0,varro
3,de historia litterarum,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,varro
4,fragmenta varia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,varro
5,res urbanae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,varro
6,epistulae latinae,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,varro
7,incertae sedis fragmenta,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,11.0,3.0,3.0,0.0,0.0,13.0,varro
8,epistulae,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,varro
9,logistorici,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,2.0,1.0,2.0,varro
10,carmina,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,varro
11,fragmenta grammatica,3.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,0.0,8.0,2.0,4.0,1.0,1.0,2.0,varro
12,de gente populi romani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,varro
13,antiquitates rerum divinarum,17.0,1.0,5.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,2.0,3.0,4.0,0.0,1.0,22.0,2.0,8.0,1.0,1.0,6.0,varro
14,antiquitates rerum humanarum,12.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,2.0,0.0,1.0,22.0,5.0,14.0,3.0,0.0,0.0,varro
15,annales,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,varro
16,res rustica,198.0,51.0,57.0,63.0,27.0,56.0,7.0,10.0,9.0,9.0,7.0,29.0,5.0,11.0,357.0,32.0,33.0,38.0,2.0,32.0,561.0,129.0,216.0,75.0,16.0,13.0,varro
