title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,total_unartistic,percent_clausulae
epistulae,5345,412,35,17,331,1204.0,150.0,173.0,452.0,589.0,128.0,93.0,32.0,16.0,30.0,55.0,42.0,38.0,26.0,823.0,35.0,48.0,180.0,14.0,20.0,328.0,114.0,130.0,83.0,31.0,4148.0,99.0,785.0,0.8609365497668762
epistulae 1,535,42,4,0,35,122.0,14.0,14.0,43.0,56.0,19.0,9.0,1.0,1.0,6.0,7.0,2.0,8.0,4.0,84.0,2.0,8.0,17.0,1.0,4.0,24.0,13.0,7.0,6.0,3.0,422.0,18.0,71.0,0.8924949290060852
epistulae 10,569,20,2,10,1,105.0,25.0,16.0,39.0,46.0,14.0,8.0,4.0,2.0,2.0,8.0,0.0,4.0,5.0,100.0,2.0,4.0,34.0,3.0,3.0,60.0,15.0,31.0,11.0,2.0,424.0,6.0,125.0,0.7832422586520947
epistulae 10 pliny,416,18,1,9,1,83.0,19.0,12.0,32.0,36.0,7.0,8.0,2.0,1.0,1.0,4.0,0.0,3.0,1.0,83.0,2.0,3.0,19.0,3.0,3.0,35.0,9.0,17.0,8.0,2.0,322.0,5.0,76.0,0.821608040201005
epistulae 10 trajan,153,2,0,2,0,22.0,6.0,4.0,7.0,10.0,7.0,0.0,2.0,1.0,1.0,4.0,0.0,1.0,4.0,17.0,0.0,1.0,15.0,0.0,0.0,25.0,6.0,14.0,3.0,0.0,102.0,1.0,49.0,0.6821192052980133
epistulae 2,512,32,2,0,30,131.0,8.0,18.0,42.0,67.0,7.0,4.0,0.0,2.0,3.0,7.0,5.0,4.0,2.0,90.0,3.0,4.0,15.0,1.0,1.0,30.0,10.0,9.0,2.0,3.0,414.0,12.0,66.0,0.8875
epistulae 3,534,28,1,0,25,117.0,19.0,13.0,49.0,56.0,11.0,8.0,1.0,2.0,3.0,5.0,3.0,1.0,1.0,106.0,6.0,6.0,11.0,2.0,2.0,42.0,7.0,11.0,15.0,1.0,422.0,8.0,84.0,0.849802371541502
epistulae 4,531,51,4,0,46,115.0,12.0,21.0,48.0,75.0,12.0,9.0,2.0,1.0,1.0,3.0,3.0,4.0,4.0,68.0,4.0,6.0,20.0,0.0,1.0,28.0,9.0,12.0,8.0,3.0,409.0,11.0,71.0,0.875
epistulae 5,500,33,5,1,27,115.0,10.0,17.0,48.0,68.0,13.0,12.0,6.0,2.0,3.0,3.0,7.0,4.0,1.0,73.0,2.0,4.0,15.0,0.0,4.0,28.0,9.0,6.0,8.0,2.0,407.0,7.0,60.0,0.8865096359743041
epistulae 6,613,54,5,1,42,145.0,19.0,16.0,43.0,64.0,16.0,8.0,6.0,3.0,4.0,5.0,10.0,3.0,4.0,93.0,6.0,4.0,19.0,2.0,4.0,32.0,13.0,15.0,12.0,2.0,474.0,11.0,85.0,0.8676207513416816
epistulae 7,538,50,3,0,46,121.0,13.0,21.0,54.0,57.0,14.0,10.0,3.0,1.0,2.0,6.0,4.0,8.0,2.0,71.0,3.0,7.0,13.0,0.0,1.0,36.0,13.0,13.0,5.0,1.0,411.0,9.0,77.0,0.860655737704918
epistulae 8,449,33,2,2,29,116.0,12.0,18.0,40.0,47.0,11.0,6.0,7.0,0.0,3.0,7.0,6.0,2.0,0.0,62.0,2.0,2.0,20.0,1.0,0.0,19.0,11.0,10.0,9.0,1.0,362.0,4.0,54.0,0.8798076923076923
epistulae 9,564,69,7,3,50,117.0,18.0,19.0,46.0,53.0,11.0,19.0,2.0,2.0,3.0,4.0,2.0,0.0,3.0,76.0,5.0,3.0,16.0,4.0,0.0,29.0,14.0,16.0,7.0,13.0,403.0,13.0,92.0,0.8404040404040404
panegyricus,1288,31,0,19,11,303.0,29.0,61.0,101.0,162.0,29.0,23.0,11.0,9.0,5.0,14.0,12.0,9.0,6.0,229.0,6.0,18.0,43.0,2.0,1.0,94.0,22.0,27.0,22.0,1.0,1073.0,18.0,184.0,0.86793953858393
versus,5,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,3.0,0.4
