title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
de mundo,395,20,0,13,7,79.0,11.0,10.0,19.0,34.0,12.0,3.0,2.0,1.0,6.0,7.0,1.0,8.0,4.0,83.0,2.0,1.0,6.0,3.0,4.0,25.0,15.0,20.0,2.0,13.0,371.0,4.0,1.0
de deo socratis,238,11,0,2,3,28.0,4.0,10.0,21.0,32.0,6.0,5.0,2.0,1.0,0.0,4.0,1.0,1.0,5.0,43.0,2.0,0.0,5.0,1.0,1.0,28.0,7.0,9.0,2.0,1.0,219.0,8.0,1.0
fragmenta,40,13,0,2,1,2.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,24.0,3.0,1.0
carmina,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,14.0,0.0,1.0
metamorphoses,2805,65,0,26,32,325.0,42.0,50.0,96.0,187.0,225.0,23.0,18.0,36.0,45.0,27.0,34.0,52.0,83.0,621.0,14.0,37.0,163.0,7.0,41.0,251.0,95.0,179.0,29.0,9.0,2689.0,51.0,1.0
florida,390,8,0,7,1,41.0,3.0,7.0,14.0,45.0,22.0,5.0,3.0,0.0,9.0,5.0,6.0,3.0,7.0,95.0,3.0,7.0,13.0,0.0,1.0,44.0,17.0,23.0,2.0,1.0,376.0,6.0,1.0
anechomenos,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0
apologia,1326,34,3,8,19,121.0,26.0,31.0,36.0,87.0,64.0,10.0,4.0,5.0,13.0,18.0,10.0,20.0,9.0,315.0,8.0,9.0,23.0,3.0,9.0,271.0,57.0,73.0,19.0,19.0,1260.0,32.0,1.0
de deo socratis praef,44,3,0,1,0,5.0,1.0,2.0,3.0,8.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,40.0,1.0,1.0
de platone et eius dogmate,487,8,0,6,0,82.0,13.0,17.0,28.0,47.0,13.0,8.0,8.0,3.0,7.0,9.0,1.0,8.0,7.0,118.0,3.0,4.0,15.0,1.0,2.0,48.0,13.0,16.0,2.0,2.0,475.0,4.0,1.0
