title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
academica,543,14,0,8,5,76.0,13.0,21.0,11.0,52.0,21.0,5.0,6.0,2.0,6.0,1.0,3.0,8.0,4.0,106.0,10.0,5.0,33.0,4.0,3.0,78.0,15.0,25.0,8.0,1.0,517.0,12.0,1.0
arati phaenomena,529,19,0,3,16,18.0,1.0,7.0,2.0,0.0,12.0,0.0,1.0,0.0,18.0,3.0,7.0,2.0,0.0,13.0,1.0,5.0,5.0,0.0,0.0,36.0,328.0,34.0,12.0,0.0,505.0,5.0,1.0
arati prognotica,23,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,1.0,23.0,0.0,1.0
brutus,4164,696,204,22,463,401.0,73.0,127.0,60.0,431.0,224.0,63.0,22.0,11.0,66.0,27.0,21.0,60.0,42.0,652.0,40.0,39.0,205.0,12.0,19.0,369.0,86.0,165.0,40.0,9.0,3264.0,204.0,1.0
carmina fragmenta,289,24,0,1,24,4.0,0.0,1.0,0.0,3.0,20.0,3.0,0.0,0.0,11.0,3.0,5.0,17.0,19.0,16.0,1.0,2.0,2.0,0.0,0.0,23.0,93.0,22.0,9.0,0.0,254.0,11.0,1.0
cato maior de senectute,1236,88,29,0,58,179.0,29.0,44.0,26.0,130.0,65.0,23.0,4.0,2.0,19.0,11.0,4.0,22.0,14.0,198.0,13.0,12.0,58.0,3.0,3.0,111.0,44.0,48.0,20.0,9.0,1091.0,57.0,1.0
commentarii causarum,9,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0
de divinatione,5529,652,33,27,571,557.0,98.0,185.0,89.0,371.0,241.0,58.0,39.0,19.0,65.0,33.0,38.0,60.0,57.0,870.0,53.0,74.0,246.0,26.0,23.0,590.0,259.0,361.0,87.0,15.0,4514.0,363.0,1.0
de domo sua,2612,348,67,27,254,265.0,46.0,108.0,42.0,158.0,100.0,17.0,9.0,11.0,32.0,14.0,13.0,30.0,31.0,587.0,23.0,16.0,115.0,6.0,11.0,254.0,56.0,136.0,24.0,6.0,2110.0,154.0,1.0
de fato,1082,140,0,5,122,118.0,18.0,31.0,9.0,66.0,39.0,9.0,5.0,6.0,13.0,10.0,9.0,9.0,8.0,175.0,8.0,9.0,62.0,1.0,9.0,100.0,37.0,74.0,23.0,6.0,854.0,88.0,1.0
de finibus,9872,1313,31,65,1211,922.0,182.0,314.0,171.0,667.0,450.0,82.0,64.0,49.0,105.0,51.0,60.0,119.0,79.0,1547.0,129.0,116.0,468.0,34.0,72.0,935.0,333.0,636.0,151.0,46.0,7782.0,777.0,1.0
de haruspicum responso,1232,156,48,6,99,183.0,23.0,55.0,27.0,66.0,59.0,11.0,10.0,2.0,8.0,7.0,8.0,12.0,6.0,223.0,19.0,8.0,46.0,2.0,2.0,163.0,34.0,48.0,12.0,1.0,1035.0,41.0,1.0
de inventore,6739,838,1,50,767,546.0,82.0,131.0,108.0,179.0,305.0,34.0,32.0,32.0,70.0,45.0,53.0,76.0,99.0,1247.0,53.0,77.0,340.0,15.0,40.0,903.0,232.0,439.0,93.0,30.0,5261.0,640.0,1.0
de iure civ in artem redig,3,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
de lege agraria,2386,371,39,25,307,298.0,30.0,59.0,34.0,113.0,134.0,16.0,7.0,11.0,27.0,24.0,16.0,34.0,26.0,408.0,18.0,25.0,126.0,5.0,8.0,267.0,61.0,106.0,26.0,2.0,1881.0,134.0,1.0
de lege agraria 1,402,47,3,1,43,46.0,4.0,14.0,4.0,28.0,26.0,2.0,1.0,0.0,7.0,3.0,2.0,5.0,5.0,78.0,1.0,8.0,32.0,1.0,3.0,38.0,8.0,12.0,4.0,0.0,332.0,23.0,1.0
de lege agraria 2,1764,273,31,21,221,232.0,24.0,42.0,25.0,73.0,93.0,13.0,5.0,11.0,19.0,19.0,13.0,28.0,19.0,288.0,16.0,16.0,88.0,4.0,4.0,202.0,50.0,87.0,20.0,2.0,1393.0,98.0,1.0
de lege agraria 3,220,51,5,3,43,20.0,2.0,3.0,5.0,12.0,15.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,42.0,1.0,1.0,6.0,0.0,1.0,27.0,3.0,7.0,2.0,0.0,156.0,13.0,1.0
de legibus,3356,444,19,123,267,301.0,41.0,111.0,55.0,340.0,209.0,50.0,20.0,10.0,58.0,18.0,36.0,51.0,42.0,513.0,41.0,38.0,189.0,9.0,11.0,322.0,71.0,180.0,27.0,10.0,2753.0,159.0,1.0
de natura deorum,4734,135,14,23,96,660.0,105.0,231.0,83.0,486.0,253.0,54.0,42.0,14.0,67.0,41.0,36.0,73.0,57.0,924.0,55.0,51.0,268.0,17.0,13.0,442.0,193.0,214.0,68.0,17.0,4464.0,135.0,1.0
de officiis,6573,647,77,24,518,678.0,146.0,267.0,142.0,562.0,255.0,78.0,44.0,21.0,73.0,50.0,45.0,64.0,65.0,1064.0,93.0,85.0,319.0,25.0,39.0,589.0,246.0,423.0,106.0,25.0,5504.0,422.0,1.0
de optimo genere oratorum,274,19,0,0,19,19.0,3.0,8.0,1.0,30.0,21.0,5.0,7.0,0.0,4.0,1.0,0.0,3.0,4.0,51.0,1.0,3.0,18.0,1.0,1.0,27.0,8.0,19.0,6.0,1.0,242.0,13.0,1.0
de oratore,11780,1557,124,107,1302,1181.0,202.0,440.0,224.0,611.0,609.0,116.0,78.0,36.0,153.0,89.0,87.0,137.0,136.0,1916.0,146.0,147.0,530.0,29.0,61.0,1278.0,321.0,676.0,134.0,46.0,9383.0,840.0,1.0
de partitione oratoria,1575,140,0,7,133,183.0,36.0,49.0,27.0,102.0,82.0,12.0,14.0,5.0,22.0,10.0,9.0,19.0,20.0,294.0,12.0,12.0,81.0,1.0,4.0,164.0,48.0,93.0,25.0,5.0,1329.0,106.0,1.0
de provinciis consularibus,792,82,23,6,53,105.0,13.0,44.0,15.0,50.0,42.0,6.0,3.0,5.0,6.0,5.0,4.0,9.0,6.0,172.0,3.0,8.0,30.0,1.0,7.0,88.0,15.0,33.0,8.0,1.0,679.0,31.0,1.0
de republica,4413,956,102,27,458,320.0,63.0,114.0,82.0,330.0,239.0,44.0,32.0,15.0,56.0,26.0,17.0,59.0,41.0,583.0,33.0,40.0,221.0,11.0,22.0,389.0,109.0,232.0,49.0,14.0,3141.0,316.0,1.0
epistula ad ocatianum,179,16,1,1,12,25.0,2.0,5.0,5.0,8.0,9.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,50.0,1.0,2.0,7.0,0.0,0.0,20.0,2.0,7.0,3.0,1.0,156.0,7.0,1.0
