title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
ab urbe condita,30604,1323,912,297,73,1790.0,370.0,335.0,695.0,1116.0,622.0,124.0,119.0,243.0,126.0,178.0,342.0,133.0,183.0,3522.0,169.0,297.0,1149.0,31.0,215.0,10683.0,2150.0,3459.0,996.0,121.0,29168.0,113.0,1.0
ab urbe condita 1,1175,23,9,4,6,85.0,16.0,17.0,44.0,74.0,21.0,6.0,11.0,12.0,7.0,6.0,24.0,4.0,5.0,184.0,7.0,17.0,91.0,1.0,6.0,283.0,63.0,127.0,25.0,5.0,1141.0,11.0,1.0
ab urbe condita 10,1012,36,30,5,1,78.0,10.0,10.0,31.0,47.0,17.0,4.0,6.0,15.0,0.0,4.0,12.0,3.0,8.0,127.0,3.0,12.0,41.0,1.0,8.0,363.0,46.0,95.0,27.0,3.0,971.0,5.0,1.0
ab urbe condita 2,1365,63,46,12,5,115.0,15.0,26.0,58.0,88.0,33.0,8.0,9.0,20.0,7.0,8.0,31.0,8.0,8.0,185.0,4.0,25.0,83.0,2.0,8.0,299.0,66.0,150.0,31.0,11.0,1298.0,4.0,1.0
ab urbe condita 21,863,16,7,4,1,38.0,8.0,6.0,11.0,29.0,20.0,4.0,7.0,3.0,3.0,6.0,12.0,1.0,5.0,74.0,5.0,13.0,34.0,3.0,8.0,338.0,64.0,121.0,31.0,2.0,846.0,1.0,1.0
ab urbe condita 22,915,37,17,17,3,36.0,8.0,6.0,29.0,26.0,16.0,5.0,1.0,6.0,4.0,8.0,13.0,4.0,6.0,102.0,8.0,11.0,33.0,1.0,6.0,330.0,67.0,109.0,36.0,5.0,876.0,2.0,1.0
ab urbe condita 23,816,25,10,11,4,51.0,9.0,4.0,19.0,18.0,10.0,2.0,3.0,4.0,6.0,5.0,11.0,8.0,4.0,68.0,5.0,3.0,24.0,0.0,6.0,317.0,51.0,126.0,29.0,4.0,787.0,4.0,1.0
ab urbe condita 24,803,30,18,11,1,59.0,10.0,3.0,18.0,15.0,13.0,3.0,2.0,8.0,7.0,5.0,10.0,4.0,4.0,75.0,8.0,4.0,26.0,0.0,1.0,292.0,66.0,107.0,28.0,1.0,769.0,4.0,1.0
ab urbe condita 25,787,25,14,11,0,35.0,14.0,7.0,16.0,27.0,4.0,5.0,0.0,8.0,1.0,4.0,7.0,2.0,6.0,62.0,6.0,7.0,22.0,0.0,3.0,314.0,61.0,115.0,29.0,6.0,761.0,1.0,1.0
ab urbe condita 26,959,25,20,4,1,42.0,5.0,8.0,10.0,35.0,23.0,0.0,7.0,8.0,2.0,7.0,11.0,6.0,9.0,94.0,9.0,6.0,25.0,2.0,8.0,356.0,87.0,119.0,48.0,4.0,931.0,3.0,1.0
ab urbe condita 27,1038,63,56,6,1,35.0,17.0,11.0,16.0,34.0,16.0,0.0,1.0,7.0,7.0,7.0,6.0,4.0,7.0,100.0,10.0,7.0,33.0,1.0,7.0,398.0,85.0,119.0,39.0,6.0,973.0,2.0,1.0
ab urbe condita 28,929,27,17,4,6,38.0,10.0,7.0,19.0,29.0,23.0,2.0,5.0,4.0,4.0,7.0,13.0,1.0,4.0,92.0,1.0,12.0,28.0,0.0,6.0,365.0,63.0,130.0,29.0,7.0,899.0,3.0,1.0
ab urbe condita 29,705,25,22,3,0,25.0,6.0,5.0,8.0,25.0,15.0,2.0,3.0,3.0,6.0,5.0,4.0,2.0,2.0,63.0,1.0,4.0,25.0,0.0,4.0,289.0,70.0,86.0,26.0,1.0,680.0,0.0,1.0
