title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
ab urbe condita,20995,1010,714,209,48,1134.0,236.0,217.0,440.0,733.0,390.0,82.0,72.0,164.0,66.0,108.0,222.0,78.0,108.0,2253.0,103.0,202.0,715.0,19.0,156.0,7662.0,1538.0,2451.0,695.0,76.0,19920.0,65.0,1.0
ab urbe condita 1,776,17,6,3,4,56.0,10.0,9.0,22.0,53.0,13.0,4.0,8.0,8.0,2.0,3.0,15.0,2.0,4.0,114.0,4.0,13.0,60.0,0.0,4.0,187.0,49.0,92.0,18.0,4.0,754.0,5.0,1.0
ab urbe condita 10,627,24,21,3,0,44.0,6.0,8.0,18.0,29.0,10.0,3.0,4.0,7.0,0.0,1.0,9.0,1.0,4.0,65.0,1.0,4.0,23.0,1.0,4.0,240.0,34.0,66.0,16.0,3.0,601.0,2.0,1.0
ab urbe condita 2,900,50,39,9,2,72.0,9.0,20.0,39.0,57.0,20.0,5.0,6.0,14.0,3.0,5.0,23.0,4.0,5.0,106.0,1.0,14.0,52.0,2.0,6.0,208.0,44.0,104.0,23.0,5.0,847.0,3.0,1.0
ab urbe condita 21,592,15,7,4,1,20.0,6.0,4.0,7.0,19.0,11.0,2.0,5.0,3.0,2.0,4.0,9.0,1.0,3.0,46.0,1.0,11.0,22.0,1.0,5.0,242.0,45.0,86.0,20.0,1.0,576.0,1.0,1.0
ab urbe condita 22,602,18,8,8,2,20.0,6.0,4.0,15.0,19.0,8.0,3.0,1.0,4.0,1.0,5.0,11.0,2.0,4.0,58.0,5.0,8.0,19.0,0.0,5.0,235.0,48.0,75.0,26.0,2.0,584.0,0.0,1.0
ab urbe condita 23,578,17,8,9,0,34.0,5.0,2.0,10.0,10.0,6.0,1.0,2.0,2.0,3.0,4.0,7.0,6.0,3.0,46.0,2.0,2.0,18.0,0.0,3.0,238.0,35.0,93.0,23.0,3.0,558.0,3.0,1.0
ab urbe condita 24,560,21,12,9,0,37.0,5.0,2.0,14.0,9.0,11.0,1.0,1.0,4.0,5.0,4.0,7.0,2.0,2.0,47.0,5.0,2.0,12.0,0.0,1.0,217.0,47.0,82.0,20.0,0.0,537.0,2.0,1.0
ab urbe condita 25,555,19,12,7,0,22.0,8.0,3.0,8.0,20.0,3.0,2.0,0.0,3.0,0.0,3.0,5.0,1.0,4.0,42.0,4.0,5.0,17.0,0.0,3.0,228.0,50.0,82.0,18.0,4.0,535.0,1.0,1.0
ab urbe condita 26,631,19,16,2,1,30.0,2.0,5.0,5.0,25.0,13.0,0.0,3.0,6.0,0.0,4.0,7.0,4.0,6.0,51.0,8.0,5.0,13.0,1.0,8.0,243.0,55.0,82.0,30.0,3.0,609.0,3.0,1.0
ab urbe condita 27,688,46,43,2,1,19.0,9.0,8.0,9.0,19.0,11.0,0.0,0.0,5.0,4.0,5.0,5.0,1.0,4.0,59.0,4.0,6.0,19.0,0.0,5.0,278.0,56.0,80.0,30.0,4.0,640.0,2.0,1.0
ab urbe condita 28,632,18,11,2,5,16.0,3.0,2.0,10.0,17.0,12.0,2.0,3.0,4.0,2.0,3.0,6.0,0.0,3.0,64.0,1.0,6.0,17.0,0.0,4.0,270.0,49.0,94.0,20.0,4.0,612.0,2.0,1.0
ab urbe condita 29,440,11,10,1,0,14.0,2.0,3.0,7.0,16.0,8.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,36.0,0.0,4.0,15.0,0.0,2.0,191.0,42.0,59.0,17.0,1.0,429.0,0.0,1.0
ab urbe condita 3,1003,31,26,3,2,98.0,9.0,16.0,36.0,60.0,25.0,8.0,3.0,15.0,2.0,4.0,9.0,5.0,7.0,146.0,4.0,13.0,52.0,1.0,9.0,252.0,63.0,96.0,30.0,3.0,966.0,6.0,1.0
ab urbe condita 30,505,24,22,2,0,16.0,4.0,4.0,4.0,14.0,7.0,3.0,1.0,2.0,1.0,2.0,7.0,1.0,3.0,36.0,1.0,2.0,15.0,1.0,2.0,209.0,54.0,78.0,12.0,2.0,481.0,0.0,1.0
ab urbe condita 31,508,18,12,2,3,18.0,5.0,2.0,10.0,12.0,6.0,1.0,2.0,4.0,0.0,5.0,3.0,2.0,4.0,47.0,0.0,3.0,13.0,0.0,3.0,233.0,35.0,62.0,18.0,2.0,490.0,0.0,1.0
ab urbe condita 32,453,31,16,3,3,19.0,3.0,6.0,5.0,9.0,7.0,1.0,0.0,1.0,2.0,3.0,4.0,4.0,3.0,35.0,2.0,2.0,12.0,1.0,3.0,183.0,39.0,52.0,21.0,4.0,421.0,1.0,1.0
