,title,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),misc_clausulae,author
0,epistulae 10 trajan,22.0,6.0,4.0,7.0,10.0,7.0,0.0,2.0,1.0,1.0,4.0,0.0,1.0,4.0,16.0,0.0,1.0,15.0,0.0,0.0,26.0,6.0,14.0,3.0,0.0,1.0,pliny
1,epistulae 8,114.0,11.0,19.0,39.0,46.0,9.0,6.0,8.0,0.0,3.0,6.0,5.0,2.0,1.0,61.0,1.0,2.0,20.0,1.0,0.0,21.0,13.0,11.0,9.0,2.0,4.0,pliny
2,epistulae 9,117.0,18.0,19.0,46.0,53.0,12.0,18.0,2.0,2.0,2.0,4.0,2.0,0.0,3.0,73.0,5.0,3.0,16.0,4.0,0.0,32.0,15.0,16.0,7.0,14.0,13.0,pliny
3,panegyricus,298.0,30.0,60.0,102.0,162.0,29.0,22.0,11.0,8.0,7.0,13.0,12.0,9.0,6.0,226.0,6.0,18.0,45.0,2.0,3.0,101.0,21.0,28.0,24.0,1.0,18.0,pliny
7,epistulae 4,113.0,13.0,21.0,46.0,75.0,12.0,9.0,2.0,1.0,1.0,3.0,3.0,4.0,4.0,69.0,3.0,6.0,20.0,0.0,1.0,30.0,8.0,14.0,8.0,3.0,11.0,pliny
8,epistulae 5,111.0,10.0,17.0,46.0,70.0,12.0,12.0,6.0,2.0,3.0,2.0,7.0,4.0,2.0,73.0,2.0,4.0,14.0,0.0,4.0,33.0,9.0,6.0,9.0,2.0,7.0,pliny
9,epistulae 7,120.0,13.0,20.0,54.0,54.0,12.0,10.0,3.0,1.0,2.0,7.0,4.0,8.0,3.0,70.0,3.0,7.0,14.0,0.0,1.0,41.0,14.0,13.0,4.0,1.0,9.0,pliny
10,epistulae 10 pliny,82.0,18.0,12.0,33.0,36.0,7.0,7.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,82.0,2.0,3.0,20.0,3.0,3.0,38.0,9.0,16.0,8.0,2.0,5.0,pliny
11,epistulae 6,139.0,19.0,15.0,42.0,62.0,18.0,6.0,6.0,3.0,4.0,4.0,11.0,4.0,5.0,91.0,6.0,4.0,20.0,2.0,4.0,43.0,11.0,16.0,11.0,2.0,11.0,pliny
12,epistulae 2,128.0,7.0,17.0,40.0,66.0,7.0,4.0,0.0,2.0,3.0,7.0,5.0,4.0,2.0,88.0,3.0,5.0,17.0,1.0,1.0,31.0,12.0,11.0,5.0,3.0,11.0,pliny
13,epistulae 3,117.0,19.0,12.0,48.0,55.0,13.0,8.0,1.0,2.0,3.0,6.0,3.0,1.0,0.0,107.0,6.0,6.0,12.0,2.0,2.0,40.0,7.0,11.0,15.0,1.0,8.0,pliny
14,epistulae 1,119.0,13.0,12.0,41.0,55.0,20.0,9.0,1.0,1.0,5.0,9.0,3.0,8.0,4.0,82.0,3.0,7.0,17.0,1.0,4.0,29.0,13.0,9.0,5.0,3.0,18.0,pliny
