title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
apocolocyntosis,303,23,2,4,7,19.0,3.0,4.0,8.0,14.0,11.0,3.0,0.0,2.0,1.0,5.0,7.0,1.0,14.0,38.0,2.0,7.0,11.0,2.0,2.0,44.0,30.0,33.0,5.0,6.0,272.0,8.0,1.0
apocolocyntosis no verse,262,24,2,4,6,17.0,3.0,4.0,8.0,14.0,11.0,2.0,0.0,1.0,0.0,5.0,6.0,1.0,9.0,36.0,2.0,7.0,11.0,2.0,2.0,44.0,12.0,25.0,4.0,5.0,231.0,7.0,1.0
de beneficiis,3810,127,1,25,98,594.0,91.0,69.0,241.0,404.0,229.0,67.0,40.0,28.0,57.0,49.0,36.0,51.0,48.0,360.0,23.0,45.0,221.0,21.0,63.0,446.0,99.0,236.0,57.0,32.0,3607.0,76.0,1.0
de clementia,594,18,3,9,5,55.0,9.0,9.0,20.0,48.0,40.0,3.0,6.0,4.0,10.0,5.0,12.0,9.0,7.0,69.0,3.0,8.0,53.0,2.0,4.0,100.0,20.0,54.0,15.0,2.0,567.0,9.0,1.0
dialogi,5727,160,1,51,105,867.0,122.0,154.0,363.0,663.0,387.0,87.0,55.0,48.0,87.0,91.0,65.0,74.0,84.0,655.0,33.0,58.0,325.0,20.0,37.0,649.0,129.0,322.0,72.0,19.0,5466.0,101.0,1.0
dialogi 1,358,9,0,1,8,84.0,4.0,16.0,31.0,68.0,15.0,4.0,2.0,0.0,1.0,3.0,3.0,2.0,2.0,26.0,3.0,1.0,21.0,0.0,1.0,20.0,7.0,16.0,6.0,1.0,337.0,12.0,1.0
dialogi 10,463,10,0,3,7,68.0,10.0,11.0,36.0,46.0,39.0,7.0,4.0,3.0,5.0,8.0,5.0,1.0,10.0,62.0,1.0,3.0,31.0,3.0,2.0,53.0,8.0,32.0,1.0,1.0,450.0,3.0,1.0
dialogi 11,386,7,0,0,7,38.0,5.0,11.0,23.0,51.0,42.0,7.0,4.0,2.0,5.0,7.0,3.0,7.0,14.0,54.0,2.0,2.0,34.0,6.0,4.0,34.0,5.0,17.0,1.0,0.0,378.0,1.0,1.0
dialogi 12,523,8,0,4,4,64.0,11.0,15.0,44.0,36.0,31.0,9.0,6.0,8.0,6.0,7.0,5.0,7.0,3.0,64.0,1.0,9.0,37.0,1.0,7.0,75.0,19.0,34.0,9.0,1.0,509.0,6.0,1.0
dialogi 2,340,10,0,3,7,37.0,9.0,7.0,16.0,31.0,26.0,7.0,4.0,6.0,13.0,8.0,5.0,5.0,5.0,29.0,3.0,2.0,14.0,1.0,2.0,55.0,8.0,29.0,3.0,0.0,325.0,5.0,1.0
