title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
agricola,443,9,0,9,0,45.0,2.0,9.0,13.0,24.0,15.0,2.0,1.0,2.0,6.0,7.0,6.0,5.0,6.0,74.0,2.0,7.0,29.0,3.0,1.0,95.0,20.0,37.0,17.0,2.0,430.0,4.0,1.0
annales,5778,109,55,21,9,515.0,92.0,108.0,182.0,264.0,232.0,35.0,33.0,52.0,74.0,66.0,60.0,84.0,86.0,869.0,48.0,54.0,273.0,14.0,60.0,1349.0,347.0,500.0,192.0,21.0,5610.0,59.0,1.0
annales book 1,769,15,11,4,0,66.0,10.0,8.0,22.0,32.0,34.0,5.0,9.0,4.0,12.0,11.0,15.0,6.0,13.0,112.0,7.0,12.0,35.0,2.0,7.0,184.0,48.0,68.0,25.0,0.0,747.0,7.0,1.0
annales book 11,315,4,2,1,1,25.0,5.0,6.0,13.0,18.0,8.0,1.0,2.0,2.0,5.0,6.0,1.0,4.0,7.0,53.0,1.0,4.0,20.0,1.0,6.0,74.0,18.0,23.0,7.0,0.0,310.0,1.0,1.0
annales book 12,473,4,3,1,0,45.0,8.0,16.0,21.0,19.0,15.0,4.0,3.0,3.0,5.0,4.0,4.0,10.0,2.0,76.0,3.0,0.0,27.0,2.0,3.0,111.0,25.0,42.0,14.0,1.0,463.0,6.0,1.0
annales book 13,443,4,1,2,1,43.0,11.0,6.0,5.0,16.0,11.0,3.0,2.0,6.0,3.0,6.0,7.0,6.0,10.0,72.0,5.0,5.0,21.0,1.0,6.0,115.0,29.0,35.0,11.0,2.0,437.0,2.0,1.0
annales book 14,528,7,1,2,2,49.0,6.0,10.0,22.0,25.0,23.0,2.0,2.0,6.0,6.0,7.0,4.0,13.0,9.0,67.0,3.0,4.0,31.0,1.0,5.0,116.0,37.0,43.0,21.0,1.0,513.0,8.0,1.0
annales book 15,560,9,3,3,0,64.0,8.0,11.0,14.0,26.0,22.0,3.0,1.0,4.0,7.0,4.0,7.0,13.0,9.0,85.0,3.0,2.0,27.0,0.0,7.0,127.0,33.0,48.0,19.0,3.0,547.0,4.0,1.0
annales book 16,237,2,2,1,0,24.0,7.0,4.0,11.0,7.0,13.0,3.0,1.0,0.0,2.0,2.0,5.0,3.0,4.0,30.0,2.0,8.0,16.0,0.0,2.0,47.0,14.0,17.0,7.0,1.0,230.0,5.0,1.0
annales book 2,685,9,5,2,2,48.0,5.0,14.0,20.0,40.0,32.0,4.0,2.0,7.0,11.0,9.0,4.0,8.0,10.0,106.0,3.0,6.0,17.0,0.0,6.0,178.0,37.0,70.0,24.0,5.0,666.0,10.0,1.0
