title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
annales,2,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
antiquitates rerum divinarum,184,84,0,1,10,18.0,1.0,5.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,1.0,4.0,4.0,0.0,1.0,23.0,2.0,8.0,1.0,1.0,94.0,6.0,1.0
antiquitates rerum humanarum,97,9,3,2,0,12.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,2.0,0.0,1.0,22.0,5.0,14.0,3.0,0.0,88.0,0.0,1.0
carmina,16,1,0,0,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,15.0,0.0,1.0
de gente populi romani,12,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,8.0,1.0,1.0
de historia litterarum,8,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,2.0,1.0
de lingua latina,3155,194,6,93,57,282.0,52.0,54.0,86.0,42.0,96.0,15.0,21.0,20.0,29.0,21.0,27.0,27.0,54.0,430.0,34.0,45.0,108.0,9.0,64.0,742.0,162.0,308.0,112.0,45.0,2885.0,76.0,1.0
de lingua latina book 5,978,30,0,23,7,93.0,23.0,19.0,26.0,14.0,21.0,7.0,5.0,4.0,7.0,7.0,5.0,6.0,22.0,149.0,15.0,15.0,34.0,2.0,13.0,250.0,61.0,92.0,41.0,4.0,935.0,13.0,1.0
de lingua latina book 6,509,29,3,19,7,50.0,6.0,5.0,11.0,4.0,12.0,3.0,2.0,5.0,6.0,4.0,6.0,3.0,7.0,74.0,4.0,8.0,16.0,3.0,5.0,134.0,21.0,52.0,22.0,3.0,466.0,14.0,1.0
de lingua latina book 7,609,60,1,15,34,45.0,4.0,9.0,14.0,7.0,32.0,4.0,6.0,2.0,4.0,2.0,7.0,7.0,14.0,71.0,2.0,7.0,21.0,4.0,3.0,121.0,42.0,57.0,20.0,6.0,511.0,38.0,1.0
de lingua latina book 8,278,11,0,11,0,20.0,4.0,7.0,7.0,3.0,11.0,1.0,1.0,2.0,5.0,2.0,4.0,3.0,1.0,44.0,4.0,4.0,9.0,0.0,15.0,65.0,7.0,27.0,5.0,13.0,264.0,3.0,1.0
de lingua latina book 9,670,28,1,24,4,67.0,14.0,14.0,24.0,10.0,17.0,0.0,6.0,7.0,6.0,6.0,4.0,8.0,8.0,86.0,9.0,8.0,22.0,0.0,28.0,153.0,29.0,69.0,23.0,18.0,636.0,6.0,1.0
de vita populi romani,184,7,0,1,3,17.0,2.0,1.0,4.0,5.0,15.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,35.0,3.0,4.0,12.0,0.0,2.0,37.0,10.0,10.0,6.0,0.0,176.0,1.0,1.0
epistulae,8,1,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0
epistulae latinae,4,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0
fragmenta grammatica,56,14,0,0,6,3.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,0.0,8.0,2.0,4.0,1.0,1.0,40.0,2.0,1.0
fragmenta varia,6,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0
incertae sedis fragmenta,202,151,0,2,26,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,11.0,3.0,3.0,0.0,0.0,38.0,13.0,1.0
logistorici,62,31,0,2,3,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,2.0,1.0,29.0,2.0,1.0
menippeae,157,12,0,4,5,8.0,1.0,4.0,2.0,1.0,12.0,3.0,2.0,0.0,2.0,3.0,3.0,0.0,2.0,22.0,3.0,1.0,3.0,0.0,1.0,32.0,14.0,18.0,4.0,0.0,141.0,4.0,1.0
res rustica,2167,123,7,87,23,198.0,51.0,56.0,63.0,27.0,55.0,7.0,10.0,9.0,9.0,6.0,29.0,5.0,11.0,358.0,32.0,33.0,38.0,1.0,32.0,564.0,129.0,216.0,76.0,16.0,2031.0,13.0,1.0
res rustica book 1,861,53,3,33,12,60.0,23.0,35.0,29.0,10.0,21.0,3.0,4.0,3.0,1.0,3.0,8.0,3.0,4.0,147.0,14.0,16.0,16.0,0.0,15.0,209.0,58.0,86.0,30.0,5.0,803.0,5.0,1.0
res rustica book 2,702,30,0,25,4,67.0,15.0,12.0,13.0,8.0,25.0,1.0,4.0,4.0,5.0,1.0,17.0,1.0,2.0,118.0,9.0,8.0,13.0,0.0,9.0,183.0,41.0,78.0,25.0,7.0,666.0,6.0,1.0
res rustica book 3,585,37,4,28,5,67.0,13.0,9.0,21.0,8.0,7.0,3.0,2.0,2.0,3.0,1.0,4.0,1.0,4.0,90.0,9.0,9.0,8.0,1.0,8.0,170.0,29.0,52.0,21.0,4.0,546.0,2.0,1.0
res urbanae,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
